Started Log File:     logs/MMTK 2021-06-01 14-01-44-COM5.txt
Data Source:     COM5

1BLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	460.69	3.45	-10.62	72	0	0	0	1	12.25	1	1	1	1	1	
1	421.35	2.87	-10.62	60	0	0	0	1	12.25	1	1	1	1	1	
1	352.44	2.10	-10.62	44	0	0	0	1	12.25	1	1	1	1	1	
1	315.13	1.66	-10.62	36	0	0	0	1	12.27	1	1	1	1	1	
1	235.26	1.11	-10.62	24	0	0	0	1	12.27	1	1	1	1	1	
1	195.11	0.83	-10.63	18	0	0	0	1	12.27	1	1	1	1	1	
1	109.01	0.53	-10.62	12	0	0	0	1	12.27	1	1	1	1	1	
1	66.02	0.42	-10.62	10	0	0	0	1	12.27	1	1	1	1	1	
1	12.00	0.37	-10.64	10	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	0.00	-10.64	2	0	0	0	1	12.19	1	1	1	1	1	
1	400.64	0.00	-10.62	2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.60	2	0	0	0	1	12.25	1	1	1	1	1	
1	400.64	0.00	-10.60	2	0	0	0	1	12.25	1	1	1	1	1	
1	6.00	0.00	-10.61	2	0	0	0	1	12.27	1	1	1	1	1	
1	59.02	0.03	-10.62	2	0	0	0	0	12.27	1	1	1	1	1	
1	134.02	0.23	-10.62	6	0	0	0	0	12.27	1	1	1	1	1	
1	188.06	0.41	-10.61	10	0	0	0	0	12.27	1	1	1	1	1	
1	234.08	0.56	-10.62	12	0	0	0	0	12.27	1	1	1	1	1	
1	308.39	1.12	-10.62	24	0	0	0	0	12.27	1	1	1	1	1	
1	353.11	1.38	-10.62	28	0	0	0	0	12.25	1	1	1	1	1	
1	415.74	2.15	-10.62	44	0	0	0	0	12.29	1	1	1	1	1	
1	455.10	2.73	-10.62	56	0	0	0	0	12.27	1	1	1	1	1	
1	505.39	3.70	-10.60	76	0	0	0	0	12.27	1	1	1	1	1	
1	535.71	4.39	-10.60	90	0	0	0	0	12.25	1	1	1	1	1	
1	573.39	5.51	-10.63	112	0	0	0	0	12.29	1	1	1	1	1	
1	593.35	6.29	-10.63	126	0	0	0	0	12.25	1	1	1	1	1	
1	616.78	7.49	-10.62	151	0	0	0	0	12.27	1	1	1	1	1	
1	625.00	8.31	-10.62	168	0	0	0	0	12.29	1	1	1	1	1	
1	629.19	9.56	-10.62	192	0	0	0	0	12.27	1	1	1	1	1	
1	627.09	10.39	-10.62	209	0	0	0	0	12.25	1	1	1	1	1	
1	622.92	11.23	-10.64	226	0	0	0	0	12.25	1	1	1	1	1	
