Started Log File:     logs/MMTK 2021-06-01 12-31-06-COM5.txt
Data Source:     COM5

‰LBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	207.64	1.93	0.01	40	0	0	0	1	12.27	1	1	1	1	1	
1	184.18	1.54	0.02	32	0	0	0	1	12.27	1	1	1	1	1	
1	166.96	1.31	0.02	28	0	0	0	1	12.29	1	1	1	1	1	
1	141.51	1.01	0.01	22	0	0	0	1	12.29	1	1	1	1	1	
1	122.79	0.83	0.02	18	0	0	0	1	12.29	1	1	1	1	1	
1	104.05	0.68	-0.01	15	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.48	-0.03	10	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.35	-0.00	8	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.15	0.01	4	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.02	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.27	1	1	1	1	1	
1	240.08	0.00	-0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.27	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.27	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.00	0.00	2	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	0.03	-0.01	2	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	0.08	0.00	2	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	0.21	-0.01	6	0	0	0	0	12.27	1	1	1	1	1	
1	111.54	0.37	-0.01	8	0	0	0	0	12.27	1	1	1	1	1	
1	130.21	0.52	-0.01	12	0	0	0	0	12.27	1	1	1	1	1	
1	156.25	0.78	-0.01	18	0	0	0	0	12.29	1	1	1	1	1	
1	173.61	0.99	-0.00	22	0	0	0	0	12.29	1	1	1	1	1	
1	194.50	1.20	-0.00	26	0	0	0	0	12.27	1	1	1	1	1	
1	214.53	1.60	-0.01	34	0	0	0	0	12.29	1	1	1	1	1	
1	230.34	1.76	-0.01	36	0	0	0	0	12.27	1	1	1	1	1	
1	251.34	2.24	0.00	46	0	0	0	0	12.27	1	1	1	1	1	
1	265.96	2.59	0.01	54	0	0	0	0	12.27	1	1	1	1	1	
1	284.52	3.14	-0.02	64	0	0	0	0	12.27	1	1	1	1	1	
1	297.62	3.53	-0.00	72	0	0	0	0	12.27	1	1	1	1	1	
1	314.07	4.15	0.01	84	0	0	0	0	12.29	1	1	1	1	1	
1	324.39	4.57	0.00	92	0	0	0	0	12.29	1	1	1	1	1	
1	337.84	5.24	0.00	106	0	0	0	0	12.29	1	1	1	1	1	
1	345.94	5.69	0.01	116	0	0	0	0	12.27	1	1	1	1	1	
1	353.11	6.16	0.02	124	0	0	0	0	12.29	1	1	1	1	1	
1	361.27	6.82	0.01	138	0	0	0	0	12.27	1	1	1	1	1	
1	366.93	7.30	-0.01	148	0	0	0	0	12.25	1	1	1	1	1	
1	372.76	8.04	-0.00	162	0	0	0	0	12.27	1	1	1	1	1	
1	375.75	8.54	0.01	172	0	0	0	0	12.29	1	1	1	1	1	
1	377.26	9.27	0.00	186	0	0	0	0	12.25	1	1	1	1	1	
1	377.26	9.77	0.00	196	0	0	0	0	12.27	1	1	1	1	1	
1	375.75	10.52	0.00	212	0	0	0	0	12.27	1	1	1	1	1	
1	372.76	11.02	0.00	222	0	0	0	0	12.27	1	1	1	1	1	
1	369.09	11.77	0.02	236	0	0	0	0	12.27	1	1	1	1	1	
1	363.37	12.25	0.01	246	0	0	0	0	12.27	1	1	1	1	1	
1	355.79	12.73	0.00	256	0	0	0	0	12.27	1	1	1	1	1	
1	347.22	13.43	0.01	270	0	0	0	0	12.29	1	1	1	1	1	
1	334.82	13.89	0.01	280	0	0	0	0	12.29	1	1	1	1	1	
1	324.39	14.55	-0.00	292	0	0	0	0	12.27	1	1	1	1	1	
1	313.55	14.97	0.00	300	0	0	0	0	12.27	1	1	1	1	1	
1	299.52	15.59	0.01	314	0	0	0	0	12.25	1	1	1	1	1	
1	285.39	15.98	0.00	320	0	0	0	0	12.29	1	1	1	1	1	
1	268.62	16.53	0.01	332	0	0	0	0	12.29	1	1	1	1	1	
1	251.68	16.88	0.01	338	0	0	0	0	12.29	1	1	1	1	1	
1	233.50	17.36	0.01	348	0	0	0	0	12.29	1	1	1	1	1	
1	211.15	17.66	0.01	354	0	0	0	0	12.27	1	1	1	1	1	
1	196.95	17.94	-0.01	360	0	0	0	0	12.29	1	1	1	1	1	
1	177.05	18.31	-0.02	368	0	0	0	0	12.29	1	1	1	1	1	
1	156.12	18.54	-0.02	372	0	0	0	0	12.27	1	1	1	1	1	
1	133.55	18.82	-0.01	378	0	0	0	0	12.29	1	1	1	1	1	
1	108.82	18.99	-0.02	382	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.20	-0.00	386	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.33	0.02	388	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.53	0.01	392	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.66	0.00	394	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	19.80	0.00	398	0	0	0	0	12.29	1	1	1	1	1	
